EXHAUSTIVE 5043
PLANTED_256_Q2_DISTINCT 1 0
PLANTED_256_Q2_SINGLE_REPEATED 1 1
PLANTED_256_Q2_TWO_REPEATED 1 0
PLANTED_256_Q4_DISTINCT 3 0
PLANTED_256_Q4_SINGLE_REPEATED 3 3
PLANTED_256_Q4_TWO_REPEATED 3 0
PLANTED_256_Q6_DISTINCT 5 0
PLANTED_256_Q6_SINGLE_REPEATED 5 5
PLANTED_256_Q6_TWO_REPEATED 5 0
PLANTED_256_Q8_DISTINCT 7 0
PLANTED_256_Q8_SINGLE_REPEATED 7 7
PLANTED_256_Q8_TWO_REPEATED 7 0
PLANTED_256_Q10_DISTINCT 9 0
PLANTED_256_Q10_SINGLE_REPEATED 9 9
PLANTED_256_Q10_TWO_REPEATED 9 0
PLANTED_256_Q12_DISTINCT 11 0
PLANTED_256_Q12_SINGLE_REPEATED 11 11
PLANTED_256_Q12_TWO_REPEATED 11 0
PLANTED_256_Q14_DISTINCT 13 0
PLANTED_256_Q14_SINGLE_REPEATED 13 13
PLANTED_256_Q14_TWO_REPEATED 13 0
PLANTED_256_Q16_DISTINCT 15 0
PLANTED_256_Q16_SINGLE_REPEATED 15 15
PLANTED_256_Q16_TWO_REPEATED 15 0
PASS 1.6337130029999116
